candidate_id,candidate_key,first_name,incumbent,last_name,name_display,order,party_id,percent,percent_display,seat,state_id,votes,winner
hall-65071,halli,Isadore,,Hall,Isadore Hall III,2,democrat,47.8,47.8,44,CA,85289,
walters-12594,waltersm,Mimi,True,Walters,Mimi Walters,2,republican,58.6,58.6,45,CA,182618,True
varasteh-62404,varastehr,Ron,,Varasteh,Ron Varasteh,1,democrat,41.4,41.4,45,CA,129231,
correa-52470,correal,Lou,,Correa,Lou Correa,1,democrat,70.0,70.0,46,CA,115248,True
nguyen-65082,nguyenb,Bao,,Nguyen,Bao Nguyen,2,democrat,30.0,30.0,46,CA,49345,
lowenthal-52455,lowenthala,Alan,True,Lowenthal,Alan Lowenthal,1,democrat,63.7,63.7,47,CA,154759,True
whallon-63700,whallona,Andy,,Whallon,Andy Whallon,2,republican,36.3,36.3,47,CA,88109,
rohrabacher-138,rohrabacherd,Dana,True,Rohrabacher,Dana Rohrabacher,1,republican,58.3,58.3,48,CA,178701,True
savary-63704,savarys,Suzanne,,Savary,Suzanne Savary,2,democrat,41.7,41.7,48,CA,127715,
issa-146,issad,Darrell,True,Issa,Darrell Issa,2,republican,50.3,50.3,49,CA,155888,True
applegate-65086,applegated,Doug,,Applegate,Doug Applegate,1,democrat,49.7,49.7,49,CA,154267,
hunter-59681,hunterd,Duncan D.,True,Hunter,Duncan D. Hunter,1,republican,63.5,63.5,50,CA,179937,True
malloy-65088,malloyp,Patrick,,Malloy,Patrick Malloy,2,democrat,36.5,36.5,50,CA,103646,
vargas-52480,vargasj,Juan,True,Vargas,Juan Vargas,2,democrat,72.8,72.8,51,CA,145162,True
hidalgo-65091,hidalgoj,Juan,,Hidalgo,Juan Hidalgo Jr.,1,republican,27.2,27.2,51,CA,54362,
peters-50902,peterss,Scott,True,Peters,Scott Peters,2,democrat,56.5,56.5,52,CA,181253,True
gitsham-65096,gitshamd,Denise,,Gitsham,Denise Gitsham,1,republican,43.5,43.5,52,CA,139403,
davis-157,daviss,Susan,True,Davis,Susan A. Davis,1,democrat,67.0,67.0,53,CA,198988,True
veltmeyer-65099,veltmeyerj,James,,Veltmeyer,James Veltmeyer,2,republican,33.0,33.0,53,CA,97968,
degette-734,degetted,Diana,True,DeGette,Diana DeGette,1,democrat,67.9,67.9,1,CO,257254,True
stockham-65186,stockhamc,Charles,,Stockham,Charles Stockham,2,republican,27.7,27.7,1,CO,105030,
dinges-65633,dingesd,Darrell,,Dinges,Darrell Dinges,3,libertarian,4.4,4.4,1,CO,16752,
polis-9302,polisj,Jared,True,Polis,Jared Polis,1,democrat,56.9,56.9,2,CO,260175,True
morse-65187,morsen,Nicholas,,Morse,Nicholas Morse,2,republican,37.2,37.2,2,CO,170001,
longstreth-65634,longstrethr,Richard,,Longstreth,Richard Longstreth,3,libertarian,5.9,5.9,2,CO,27136,
tipton-51753,tiptons,Scott,True,Tipton,Scott Tipton,1,republican,54.6,54.6,3,CO,204220,True
schwartz-9364,schwartzg,Gail,,Schwartz,Gail Schwartz,2,democrat,40.3,40.3,3,CO,150914,
kent-62893,kentg,Gaylon,,Kent,Gaylon Kent,3,libertarian,5.1,5.1,3,CO,18903,
buck-61077,buckk,Ken,True,Buck,Ken Buck,2,republican,63.5,63.5,4,CO,248230,True
seay-65189,seayb,Bob,,Seay,Bob Seay,1,democrat,31.7,31.7,4,CO,123642,
griffith-65636,griffithb,Bruce,,Griffith,Bruce Griffith,3,libertarian,4.8,4.8,4,CO,18761,
lamborn-9174,lambornd,Doug,True,Lamborn,Doug Lamborn,2,republican,62.3,62.3,5,CO,225445,True
plowright-65190,plowrightm,Misty,,Plowright,Misty Plowright,1,democrat,30.9,30.9,5,CO,111676,
mcredmond-65637,mcredmondm,Mike,,McRedmond,Mike McRedmond,3,libertarian,6.9,6.9,5,CO,24872,
coffman-8993,coffmanm,Mike,True,Coffman,Mike Coffman,1,republican,50.9,50.9,6,CO,191626,True
carroll-65194,carrollm,Morgan,,Carroll,Morgan Carroll,2,democrat,42.6,42.6,6,CO,160372,
olsen-741,olsenn,Norm,,Olsen,Norm Olsen,3,libertarian,5.0,5.0,6,CO,18778,
worthey-65638,wortheyr,Robert Lee,,Worthey,Robert Lee Worthey,4,green,1.5,1.5,6,CO,5641,
perlmutter-9291,perlmuttere,Ed,True,Perlmutter,Ed Perlmutter,1,democrat,55.2,55.2,7,CO,199758,True
athanasopoulos-65193,athanasopoulosg,George,,Athanasopoulos,George Athanasopoulos,2,republican,39.8,39.8,7,CO,144066,
buchanan-63244,buchananm,Martin,,Buchanan,Martin Buchanan,3,libertarian,5.0,5.0,7,CO,18186,
larson-1139,larsonj,John,True,Larson,John Larson,1,democrat,64.1,64.1,1,CT,200686,True
corey-62729,coreym,Matthew,,Corey,Matthew Corey,2,republican,33.8,33.8,1,CT,105674,
derosa-62712,derosam,Michael,,DeRosa,Mike De Rosa,4,green,2.1,2.1,1,CT,6563,
courtney-1231,courtneyj,Joe,True,Courtney,Joe Courtney,1,democrat,63.2,63.2,2,CT,208818,True
novak-60574,novakd,Daria,,Novak,Daria Novak,2,republican,33.7,33.7,2,CT,111149,
pelto-65793,peltoj,Jonathan,,Pelto,Jonathan Pelto,5,green,1.6,1.6,2,CT,5332,
reale-61163,realed,Daniel,,Reale,Daniel Reale,4,libertarian,1.5,1.5,2,CT,4949,
delauro-1141,delauror,Rosa,True,DeLauro,Rosa DeLauro,1,democrat,69.0,69.0,3,CT,213572,True
cadena-65521,cadenaa,Angel,,Cadena,Angel Cadena,2,republican,31.0,31.0,3,CT,95786,
himes-59590,himesj,Jim,True,Himes,Jim Himes,1,democrat,59.9,59.9,4,CT,187811,True
shaban-65374,shabanj,John,,Shaban,John Shaban,2,republican,40.1,40.1,4,CT,125724,
esty-62534,estye,Elizabeth,True,Esty,Elizabeth Esty,1,democrat,58.0,58.0,5,CT,179252,True
cope-65375,copec,Clay,,Cope,Clay Cope,2,republican,42.0,42.0,5,CT,129801,
rochester-65591,rochesterl,Lisa,,Rochester,Lisa Blunt Rochester,1,democrat,55.5,55.5,1,DE,233554,True
reigle-65640,reigleh,Hans,,Reigle,Hans Reigle,2,republican,41.0,41.0,1,DE,172301,
perri-62706,perrim,Mark,,Perri,Mark Perri,3,green,2.0,2.0,1,DE,8326,
gesty-62449,gestys,Scott,,Gesty,Scott Gesty,4,libertarian,1.5,1.5,1,DE,6436,
gaetz-65653,gaetzm,Matt,,Gaetz,Matt Gaetz,1,republican,69.1,69.1,1,FL,255107,True
specht-65652,spechts,Steven,,Specht,Steven Specht,2,democrat,30.9,30.9,1,FL,114079,
dunn-65654,dunnn,Neal,,Dunn,Neal Dunn,1,republican,67.3,67.3,2,FL,231163,True
dartland-10617,dartlandw,Walter,,Dartland,Walter Dartland,2,democrat,29.9,29.9,2,FL,102801,
lapham-64016,laphamr,Rob,,Lapham,Rob Lapham,3,libertarian,2.7,2.7,2,FL,9395,
yoho-62555,yohot,Ted,True,Yoho,Ted Yoho,1,republican,56.6,56.6,3,FL,193843,True
mcgurn-65655,mcgurnk,Ken,,McGurn,Ken McGurn,2,democrat,39.8,39.8,3,FL,136338,
wells-65656,wellst,Tom,,Wells,Tom Wells,3,no-party-affiliation,3.7,3.7,3,FL,12519,
rutherford-65658,rutherfordj,John,,Rutherford,John Rutherford,1,republican,70.2,70.2,4,FL,287509,True
bruderly-65657,bruderlyd,David,,Bruderly,David Bruderly,2,democrat,27.6,27.6,4,FL,113088,
koniz-64215,konizg,Gary,,Koniz,Gary L. Koniz,3,no-party-affiliation,2.2,2.2,4,FL,9054,
lawson-53059,lawsona,Al,,Lawson,Al Lawson,2,democrat,64.2,64.2,5,FL,194549,True
smith-64142,smithg,Glo,,Smith,Glo Smith,1,republican,35.8,35.8,5,FL,108325,
desantis-62557,desantisr,Ron,True,DeSantis,Ron DeSantis,1,republican,58.6,58.6,6,FL,213519,True
mccullough-65769,mcculloughb,Bill,,McCullough,Bill McCullough,2,democrat,41.4,41.4,6,FL,151051,
murphy-65659,murphys,Stephanie,,Murphy,Stephanie Murphy,2,democrat,51.5,51.5,7,FL,182039,True
mica-856,micaj,John,True,Mica,John Mica,1,republican,48.5,48.5,7,FL,171583,
posey-53077,poseyb,Bill,True,Posey,Bill Posey,1,republican,63.1,63.1,8,FL,246483,True
westbrook-65660,westbrookc,Corry,,Westbrook,Corry Westbrook,2,democrat,32.5,32.5,8,FL,127127,
stinson-65661,stinsonb,Bill,,Stinson,Bill Stinson,3,no-party-affiliation,4.3,4.3,8,FL,16951,
soto-65743,sotod,Darren,,Soto,Darren Soto,2,democrat,57.5,57.5,9,FL,195311,True
liebnitzky-65747,liebnitzkyw,Wayne,,Liebnitzky,Wayne Liebnitzky,1,republican,42.5,42.5,9,FL,144450,
demings-62128,demingsv,Val,,Demings,Val Demings,2,democrat,64.9,64.9,10,FL,198491,True
lowe-65662,lowet,Thuy,,Lowe,Thuy Lowe,1,republican,35.1,35.1,10,FL,107498,
webster-53062,websterd,Daniel,True,Webster,Daniel Webster,1,republican,65.4,65.4,11,FL,258016,True
koller-64153,kollerd,Dave,,Koller,Dave Koller,2,democrat,31.6,31.6,11,FL,124713,
riggs-60496,riggsb,Bruce Ray,,Riggs,Bruce Ray Riggs,3,no-party-affiliation,3.0,3.0,11,FL,11990,
bilirakis-52981,bilirakisg,Gus,True,Bilirakis,Gus Bilirakis,1,republican,68.6,68.6,12,FL,253559,True
tager-65663,tagerr,Robert,,Tager,Robert Tager,2,democrat,31.4,31.4,12,FL,116110,
crist-10601,cristc,Charlie,,Crist,Charlie Crist,2,democrat,51.9,51.9,13,FL,184693,True
jolly-63159,jollyd,David,True,Jolly,David Jolly,1,republican,48.1,48.1,13,FL,171149,
castor-10546,castork,Kathy,True,Castor,Kathy Castor,2,democrat,61.8,61.8,14,FL,195789,True
quinn-65664,quinnc,Christine,,Quinn,Christine Quinn,1,republican,38.2,38.2,14,FL,121088,
