State,Party,Votes,Seats_Won,State_Seat_Count,State_Vote_Count,%_Votes,%_Winners,Votes_to_Elect_Candidate,%_of_Total,Missed_Seats,sort_order
NC,democrat,2142661,3,13,4598458,46.59520648008528,23.076923076923077,714220.3333333334,0.5567829759582728,3.0,2
NC,other,8471,0,13,4598458,0.1842139256246333,0.0,inf,inf,0.0,3
ND,republican,233980,1,1,337885,69.24841292155615,100.0,233980.0,0.18240320897433143,0.0,1
ND,democrat,80377,0,1,337885,23.788271157346436,0.0,inf,inf,0.0,2
ND,other,23528,0,1,337885,6.963315921097416,0.0,inf,inf,0.0,3
NE,republican,518019,3,3,748728,69.18654037247171,100.0,172673.0,0.13461026285676012,0.0,1
NE,democrat,221069,0,3,748728,29.52594266542723,0.0,inf,inf,0.0,2
NE,other,9640,0,3,748728,1.2875169621010567,0.0,inf,inf,0.0,3
NH,republican,316001,0,2,715844,44.1438358078017,0.0,inf,inf,0.0,1
NH,democrat,336451,2,2,715844,47.00060348344053,100.0,168225.5,0.13114313629930505,0.0,2
NH,other,63392,0,2,715844,8.855560708757775,0.0,inf,inf,0.0,3
NJ,republican,1541631,5,12,3463311,44.51321293409688,41.66666666666667,308326.2,0.24036109193461627,0.0,1
NJ,democrat,1821620,7,12,3463311,52.59764427739814,58.333333333333336,260231.42857142858,0.2028679701145529,0.0,2
NJ,other,100060,0,12,3463311,2.8891427885049885,0.0,inf,inf,0.0,3
NM,republican,343124,1,3,780056,43.98709836216887,33.33333333333333,343124.0,0.26748832667795747,0.0,1
NM,democrat,436932,2,3,780056,56.01290163783113,66.66666666666666,218466.0,0.17030899842630265,0.0,2
NM,other,0,0,3,780056,0.0,0.0,,,0.0,3
NV,republican,498104,1,4,1078497,46.18501488645773,25.0,498104.0,0.38830570135460457,0.0,1
NV,democrat,508113,3,4,1078497,47.11306568307561,75.0,169371.0,0.13203613089662145,0.0,2
NV,other,72280,0,4,1078497,6.701919430466659,0.0,inf,inf,0.0,3
NY,republican,2530437,9,27,7149932,35.39106385906887,33.33333333333333,281159.6666666667,0.21918294484209494,0.0,1
NY,democrat,4505758,18,27,7149932,63.018193739464934,66.66666666666666,250319.88888888888,0.19514125567754262,0.0,2
NY,other,113737,0,27,7149932,1.590742401466196,0.0,inf,inf,0.0,3
OH,republican,2996017,12,16,5210477,57.499860377466405,75.0,249668.08333333334,0.19463312923527992,0.0,1
OH,democrat,2154523,4,16,5210477,41.3498226745843,25.0,538630.75,0.419899039457436,2.0,2
OH,other,59937,0,16,5210477,1.1503169479492952,0.0,inf,inf,0.0,3
OK,republican,1008339,5,5,1359892,74.14846178961271,100.0,201667.8,0.15721366726555122,0.0,1
OK,democrat,305222,0,5,1359892,22.444576481073497,0.0,inf,inf,1.0,2
OK,other,46331,0,5,1359892,3.406961729313798,0.0,inf,inf,0.0,3
OR,republican,730894,1,5,1907397,38.3189236430591,20.0,730894.0,0.5697812249768569,0.0,1
OR,democrat,1026851,4,5,1907397,53.83520053769614,80.0,256712.75,0.20012492257725148,0.0,2
OR,other,149652,0,5,1907397,7.845875819244761,0.0,inf,inf,0.0,3
PA,republican,3109785,13,18,5793764,53.67469230710813,72.22222222222221,239214.23076923078,0.1864836452886313,0.0,1
PA,democrat,2661734,5,18,5793764,45.941360400596224,27.77777777777778,532346.8,0.41500027612281665,3.0,2
PA,other,22245,0,18,5793764,0.3839472922956475,0.0,inf,inf,0.0,3
RI,republican,141324,0,2,430167,32.8532872117108,0.0,inf,inf,0.0,1
RI,democrat,263648,2,2,430167,61.28968516878328,100.0,131824.0,0.10276570911972077,0.0,2
RI,other,25195,0,2,430167,5.857027619505913,0.0,inf,inf,0.0,3
SC,republican,1193711,6,7,2037316,58.592334227974455,85.71428571428571,198951.83333333334,0.1550963878593314,0.0,1
SC,democrat,800801,1,7,2037316,39.3066662216367,14.285714285714285,800801.0,0.6242784517901256,1.0,2
SC,other,42804,0,7,2037316,2.100999550388845,0.0,inf,inf,0.0,3
SD,republican,237163,1,1,369973,64.10278587896954,100.0,237163.0,0.18488457239926218,0.0,1
SD,democrat,132810,0,1,369973,35.89721412103045,0.0,inf,inf,0.0,2
SD,other,0,0,1,369973,0.0,0.0,,,0.0,3
TN,republican,1493740,7,9,2391055,62.47200503543415,77.77777777777779,213391.42857142858,0.1663530273486854,0.0,1
TN,democrat,814181,2,9,2391055,34.051119694026276,22.22222222222222,407090.5,0.31735453262229707,1.0,2
TN,other,83134,0,9,2391055,3.4768752705395736,0.0,inf,inf,0.0,3
TX,republican,4871561,25,36,8522416,57.16173676572465,69.44444444444444,194862.44,0.15190842962889187,0.0,1
TX,democrat,3160535,11,36,8522416,37.08496510848567,30.555555555555557,287321.36363636365,0.22398640368473163,2.0,2
TX,other,490320,0,36,8522416,5.753298125789682,0.0,inf,inf,2.0,3
UT,republican,710656,4,4,1114170,63.783444178177476,100.0,177664.0,0.13850108436283282,0.0,1
UT,democrat,356290,0,4,1114170,31.978064388737803,0.0,inf,inf,1.0,2
UT,other,47224,0,4,1114170,4.238491433084718,0.0,inf,inf,0.0,3
VA,republican,1843010,7,11,3808579,48.39101407637862,63.63636363636363,263287.14285714284,0.20525010573051575,0.0,1
VA,democrat,1928989,4,11,3808579,50.64852271674029,36.36363636363637,482247.25,0.3759442940381513,1.0,2
VA,other,36580,0,11,3808579,0.9604632068810965,0.0,inf,inf,0.0,3
VT,republican,0,0,1,293824,0.0,0.0,,,0.0,1
VT,democrat,264414,1,1,293824,89.99060662165105,100.0,264414.0,0.20612856696187223,0.0,2
VT,other,29410,0,1,293824,10.009393378348944,0.0,inf,inf,0.0,3
WA,republican,1404890,4,10,3141035,44.72697693594627,40.0,351222.5,0.2738016542609929,0.0,1
WA,democrat,1736145,6,10,3141035,55.27302306405373,60.0,289357.5,0.22557370946572403,0.0,2
WA,other,0,0,10,3141035,0.0,0.0,,,0.0,3
WI,republican,1270279,5,8,2824319,44.976470434111725,62.5,254055.8,0.19805365064766625,0.0,1
WI,democrat,1436408,3,8,2824319,50.8585609486747,37.5,478802.6666666667,0.3732590087420598,1.0,2
WI,other,117632,0,8,2824319,4.164968617213565,0.0,inf,inf,0.0,3
WV,republican,445017,3,3,686349,64.83829655175428,100.0,148339.0,0.11564026675802783,0.0,1
WV,democrat,224449,0,3,686349,32.70187615921346,0.0,inf,inf,0.0,2
WV,other,16883,0,3,686349,2.459827289032256,0.0,inf,inf,0.0,3
WY,republican,156176,1,1,251037,62.21234320040472,100.0,156176.0,0.12174973743386266,0.0,1
WY,democrat,75466,0,1,251037,30.061704051593992,0.0,inf,inf,0.0,2
WY,other,19395,0,1,251037,7.7259527480012915,0.0,inf,inf,0.0,3
